dt	Mode	dhsl	pCa
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
0.002	-2	0	6.5
