dt	Mode	dhsl	pCa
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
0.002	-2	0	5.2
