dt	Mode	dhsl	pCa
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
0.002	-2	0	5.4
